----------------------------------------------------------------------
--------------N.I.N.A. - Nighttime Imaging 'N' Astronomy--------------
--------------------------Version 3.2.0.9001--------------------------
-------------------------2026-04-09T16:11:49--------------------------
----------------------------------------------------------------------
---------------------Microsoft Windows 10.0.19045---------------------
-------------------------OS Architecture X64--------------------------
-----------------------Process Architecture X64-----------------------
-----------------------------.NET 8.0.21------------------------------
----------------------------------------------------------------------
--------------------------Processor Count 4---------------------------
--------------------Total Physical Memory 7.84 GB---------------------
----------------------------------------------------------------------
DATE|LEVEL|SOURCE|MEMBER|LINE|MESSAGE
2026-04-09T16:12:20.3038|INFO|StarfrontClient.cs|RunLoop|68|[Rockwood] connecting to wss://api.starfront.space:443/ws/scope?key=***
2026-04-09T16:12:20.5412|INFO|StarfrontClient.cs|RunLoop|71|[Rockwood] connected
2026-04-09T16:12:21.0953|INFO|PluginLoader.cs|LoadPlugin|402|Successfully loaded plugin Scope Control version 2.0.2.1 by Stefan Berg @isbeorn
2026-04-09T16:12:23.2251|WARNING|When.cs|GetRunningItem|143|Can't get running items: SequencerNavigation not initialized yet!
2026-04-09T16:12:23.4601|INFO|PluginLoader.cs|LoadPlugin|402|Successfully loaded plugin Sequencer Powerups version 3.29.0.9 by Marc Blank
2026-04-09T16:12:24.2181|INFO|PluginLoader.cs|LoadPlugin|402|Successfully loaded plugin Session Metadata version 2.6.3.0 by Tom Palmer @tcpalmer
2026-04-09T16:12:24.3553|INFO|PluginLoader.cs|LoadPlugin|402|Successfully loaded plugin Shutdown PC version 2.2.0.0 by Dale Ghent
2026-04-09T16:12:24.6182|INFO|PluginLoader.cs|LoadPlugin|402|Successfully loaded plugin SkyFlats version 1.0.0.4 by Gerald Hitz (@photon)
2026-04-09T16:12:25.0331|INFO|PluginLoader.cs|LoadPlugin|402|Successfully loaded plugin Smart Filters version 1.0.0.3 by Benoit SAINTOT
2026-04-09T16:12:25.5489|INFO|PluginLoader.cs|LoadPlugin|402|Successfully loaded plugin Target Planning version 3.2.1.0 by Tom Palmer @tcpalmer
2026-04-09T16:12:28.2536|WARNING|When.cs|GetRunningItem|143|Can't get running items: SequencerNavigation not initialized yet!
2026-04-09T16:12:30.8551|INFO|PluginLoader.cs|LoadPlugin|402|Successfully loaded plugin Target Scheduler version 5.9.0.0 by Tom Palmer @tcpalmer
2026-04-09T16:12:31.3268|INFO|PluginLoader.cs|LoadPlugin|402|Successfully loaded plugin Three Point Polar Alignment version 2.2.5.0 by Stefan Berg @isbeorn
2026-04-09T16:12:32.8369|INFO|SessionHistoryManager.cs|PurgeHistoryOlderThan|102|purging web session history older than 10 days
2026-04-09T16:12:32.8936|INFO|PluginLoader.cs|LoadPlugin|402|Successfully loaded plugin Web Session History Viewer version 2.2.1.0 by Tom Palmer @tcpalmer
2026-04-09T16:12:33.2633|WARNING|When.cs|GetRunningItem|143|Can't get running items: SequencerNavigation not initialized yet!
2026-04-09T16:12:33.3000|INFO|PluginFetcher.cs|RequestAll|43|Fetching plugin manifests from https://nighttime-imaging.eu/wp-json/nina/v1/plugins/manifests
2026-04-09T16:12:33.5314|INFO|CameraChooserVM.cs|GetEquipment|279|Found 0 SVBony Cameras
2026-04-09T16:12:33.6574|INFO|CameraChooserVM.cs|GetEquipment|279|Found 0 PlayerOne Cameras
2026-04-09T16:12:33.7395|INFO|CameraChooserVM.cs|GetEquipment|279|Found 0 ASTPAN Cameras
2026-04-09T16:12:33.9101|INFO|FilterWheelChooserVM.cs|GetEquipment|167|Found 1 Networked Filter Wheel Filter Wheels
2026-04-09T16:12:34.6515|INFO|CameraChooserVM.cs|GetEquipment|293|Found 4 ASCOM Cameras
2026-04-09T16:12:35.2177|INFO|RotatorChooserVM.cs|GetEquipment|45|Found 1 Networked Rotator Rotators
2026-04-09T16:12:36.6777|INFO|SwitchChooserVM.cs|GetEquipment|71|Found 0 Alpaca Switch Hubs
2026-04-09T16:12:36.6777|INFO|CameraChooserVM.cs|GetEquipment|305|Found 0 Alpaca Cameras
2026-04-09T16:12:36.6824|INFO|FilterWheelChooserVM.cs|GetEquipment|193|Found 0 Alpaca Filter Wheels
2026-04-09T16:12:36.6825|INFO|CameraChooserVM.cs|GetEquipment|318|Found 0 Canon Cameras
2026-04-09T16:12:36.9924|INFO|TelescopeChooserVM.cs|GetEquipment|69|Found 0 Alpaca Telescopes
2026-04-09T16:12:37.1037|INFO|FlatDeviceChooserVM.cs|GetEquipment|67|Found 0 Alpaca Cover Calibrators
2026-04-09T16:12:37.2309|INFO|RotatorChooserVM.cs|GetEquipment|68|Found 0 Alpaca Rotators
2026-04-09T16:12:37.3416|INFO|WeatherDataChooserVM.cs|GetEquipment|69|Found 0 Alpaca Observing Conditions
2026-04-09T16:12:37.4846|INFO|SafetyMonitorChooserVM.cs|GetEquipment|71|Found 0 Alpaca Safety Monitors
2026-04-09T16:12:37.4869|INFO|FocuserChooserVM.cs|GetEquipment|84|Found 0 Alpaca Focusers
2026-04-09T16:12:37.5285|INFO|PluginFetcher.cs|RequestAll|57|Found 78 valid plugins at https://nighttime-imaging.eu/wp-json/nina/v1/plugins/manifests
2026-04-09T16:12:37.6735|INFO|DomeChooserVM.cs|GetEquipment|67|Found 0 Alpaca Domes
2026-04-09T16:12:38.2714|WARNING|When.cs|GetRunningItem|143|Can't get running items: SequencerNavigation not initialized yet!
2026-04-09T16:12:38.9700|INFO|ApplicationVM.cs|CheckDiskInfo|100|Available Space on Drive C:\: 138.84 GB
2026-04-09T16:12:38.9743|INFO|ApplicationVM.cs|CheckASCOMPlatformVersion|81|ASCOM Platform 6.6.2.4195 installed
2026-04-09T16:12:38.9995|INFO|ApplicationVM.cs|CheckDiskInfo|102|Drive E:\ is not ready
2026-04-09T16:12:39.0015|INFO|ApplicationVM.cs|CheckDiskInfo|100|Available Space on Drive G:\: 62.15 GB
2026-04-09T16:12:39.0143|INFO|ApplicationVM.cs|CheckDiskInfo|100|Available Space on Drive Z:\: 4.49 GB
2026-04-09T16:12:39.4351|INFO|DitherStatisticsVM.cs|StartThemeColorMonitoring|1338|Theme color monitoring timer started on UI thread
2026-04-09T16:17:24.6072|INFO|ApplicationVM.cs|Exit|244|Shutting down application - requested by user
2026-04-09T16:17:24.6752|INFO|ApplicationVM.cs|Closing|289|Application shutting down
